DateTime,Entries,UniqueIPs
1580079799,1171552,1202966
1580081521,1171520,1202935
1580082121,1171521,1202936
1580083399,1171523,1202938
1580085073,1171505,1202920
1580085722,1171506,1202921
1580086921,1171511,1202923
1580088721,1171489,1202902
1580089921,1171490,1202903
1580090599,1171489,1202903
1580091722,1171489,1202904
1580092322,1171490,1202906
1580092921,1171492,1202910
1580094139,1171464,1202883
1580095921,1171472,1202892
1580096522,1171473,1202893
1580097721,1171466,1202887
1580098921,1171467,1202888
1580100122,1171472,1202899
1580101249,1172159,1203494
1580101400,1172149,1203485
1580102521,1172150,1203486
1580103721,1172151,1203487
1580104999,1172157,1203494
1580106121,1172158,1203495
1580106721,1172161,1203498
1580107321,1172163,1203500
1580110321,1172176,1203513
1580110921,1172177,1203514
1580112122,1172197,1203534
1580112722,1172198,1203536
1580114522,1172200,1203539
1580116921,1172202,1203541
1580117479,1172212,1203551
1580119339,1172213,1203550
1580120521,1172215,1203552
1580121721,1172223,1203561
1580122921,1172241,1203582
1580124722,1172236,1203577
1580125321,1172237,1203578
1580126599,1172236,1203577
1580127122,1172237,1203578
1580127721,1172237,1203579
1580128321,1172249,1203591
1580128921,1172251,1203593
1580130199,1172252,1203594
1580131921,1172271,1203613
1580133740,1172275,1203618
1580135521,1172274,1203618
1580136721,1172275,1203619
1580137399,1172276,1203622
1580139121,1172278,1203624
1580140321,1172279,1203625
1580140999,1172289,1203636
1580142721,1172290,1203637
1580142733,1172302,1203649
1580145121,1172303,1203650
1580146321,1172314,1203661
1580146921,1172315,1203662
1580147521,1172316,1203664
1580148199,1172320,1203669
1580149321,1172322,1203671
1580149871,1172340,1203689
1580151740,1172341,1203690
1580152921,1172343,1203692
1580153521,1172364,1203715
1580155399,1172366,1203718
1580157121,1172368,1203720
1580157721,1172371,1203722
1580158922,1172347,1203699
1580160121,1172348,1203701
1580160722,1172374,1203729
1580161322,1172377,1203734
1580161921,1172379,1203737
1580162600,1172352,1203710
1580163121,1172355,1203713
1580163721,1172356,1203714
1580164286,1172366,1203737
1580164922,1172365,1203738
1580166141,1172364,1203737
1580167321,1172366,1203739
1580167921,1172356,1203733
1580168522,1172357,1203734
1580169801,1172356,1203733
1580170921,1172357,1203734
1580171521,1172342,1203720
1580172121,1172342,1203720
1580173401,1172342,1203722
1580174521,1172344,1203724
1580175088,1172323,1203703
1580178121,1172325,1203705
1580178721,1172311,1203691
1580180521,1172312,1203692
1580181721,1172314,1203695
1580182321,1172315,1203696
1580182921,1172319,1203704
1580184141,1172302,1203690
1580185322,1172307,1203696
1580185885,1172300,1203689
1580185921,1172301,1203690
1580186521,1172302,1203691
1580187740,1172302,1203692
1580188364,1172927,1204292
1580188921,1172928,1204293
1580189521,1172937,1204302
1580190121,1172939,1204305
1580191401,1172939,1204305
1580192521,1172941,1204307
1580193095,1172945,1204311
1580193721,1172946,1204313
1580194940,1172949,1204317
1580195521,1172949,1204318
1580196722,1172950,1204319
1580197321,1172959,1204330
1580198601,1172960,1204331
1580199721,1172961,1204332
1580200296,1172983,1204354
1580200921,1172983,1204354
