DateTime,AddedIPs,RemovedIPs
1578905793,0,2
1578907953,0,1
1578910122,0,3
1578912040,1,0
1578925485,4,1
1578929334,0,1
1578934120,2,0
1578936036,1,0
1578939891,1,1
1578945973,0,1
1578959792,0,1
1578964011,0,1
1578968191,1,1
1578972024,1,0
1578973969,0,1
1578983570,5,0
1578985732,1,1
1578987673,0,1
1578989565,3,0
1578991497,3,0
1578997461,1,0
1578999402,0,1
1579001317,4,0
1579004415,3,0
1579010175,1,0
1579012343,4,4
1579014312,1,0
1579018343,3,0
1579020375,3,2
1579022196,2,1
1579024136,1,0
1579026044,2,1
1579027975,4,0
1579029862,3,0
1579031815,3,0
1579033714,2,0
1579035857,4,0
1579040018,2,0
1579047636,2,0
1579049538,1,0
1579051498,1,0
1579055939,2,1
1579057829,0,1
1579061552,1,0
1579069243,1,1
1579071137,1,5
1579073083,1,0
1579074978,0,2
1579077148,1,4
1579085575,5,1
1579087501,2,4
1579089430,1,1
1579091300,0,2
1579095620,1,0
1579097557,0,2
1579099455,1,3
1579101406,0,1
1579103322,1,1
1579105273,0,3
1579107149,2,3
1579109063,1,1
1579110996,0,3
1579115116,0,6
1579116994,0,1
1579118928,0,3
1579120819,0,6
1579127248,0,2
1579129574,1,0
1579133334,0,1
1579135218,0,1
1579137154,0,2
1579142998,0,2
1579144884,1,0
1579148671,0,1
1579150605,1,0
1579154796,1,1
1579156605,0,1
1579158541,0,1
1579162714,0,1
1579164528,1,0
1579170284,0,1
1579172185,0,4
1579174125,1,2
1579176358,0,1
1579180356,0,1
1579184486,0,1
1579190220,2,1
1579194347,2,1
1579196448,1,1
1579204104,1,0
1579221653,1,0
1579223548,1,0
1579231248,0,1
1579235080,2,0
1579236979,0,1
1579239170,1,0
1579241309,1,1
1579243219,1,0
1579247062,1,0
1579250944,1,1
1579254767,1,0
1579258583,0,2
1579260814,0,1
1579264842,1,0
1579268670,1,0
1579270619,1,0
1579274677,2,0
1579276573,0,2
1579278493,1,0
1579281413,1,2
1579283296,0,1
1579285225,1,0
1579287156,1,0
1579289101,1,0
1579291001,1,1
1579298931,1,0
1579300821,2,0
1579304670,1,0
1579306584,1,1
1579310422,1,1
1579314259,1,0
1579316186,2,0
1579320269,0,1
1579322173,1,1
1579326018,0,1
1579328190,1,1
1579330100,0,1
1579332027,1,0
1579333934,1,1
1579335890,1,0
1579337811,0,1
1579341935,0,1
1579345708,1,0
1579349542,1,1
1579351471,1,0
1579355353,0,1
1579357240,1,1
1579361059,0,2
1579363001,1,0
1579364897,0,1
1579367098,1,0
1579368982,0,1
1579372849,0,2
1579374756,0,1
1579378594,0,1
1579384593,0,1
1579386514,1,1
1579388762,2,1
1579390580,2,1
1579392769,0,1
1579396591,0,1
1579400417,0,1
1579402333,2,1
1579404321,0,1
1579408117,1,0
1579410373,0,1
1579412196,2,0
1579416019,1,1
1579417955,0,1
1579419862,0,1
1579423733,0,1
1579431401,0,1
1579437397,0,2
1579445058,0,1
1579448952,1,1
1579452740,2,1
1579456578,1,0
1579460637,2,0
1579468581,1,0
1579472451,0,1
1579474348,0,2
1579476257,0,2
1579480107,1,0
1579482196,1,0
1579484182,1,0
1579488012,0,1
1579490189,1,1
1579495935,1,0
1579497851,0,1
1579499700,0,1
1579501714,0,1
1579514221,1,0
1579516100,0,1
1579518313,1,0
1579520188,3,0
1579522100,1,0
1579524013,2,0
1579525947,1,0
1579531718,1,0
1579535533,0,1
1579539393,0,2
1579541301,1,0
1579543403,0,1
1579545384,1,1
1579547354,0,1
1579549240,1,0
1579554998,1,1
1579559055,1,0
1579564960,2,0
1579566972,1,1
1579568892,0,2
1579570841,1,0
1579576608,1,1
1579582332,0,1
1579591002,1,0
1579598755,1,0
1579600587,1,1
1579604591,0,1
1579606574,0,3
1579608490,0,1
1579610413,0,2
1579612339,2,1
1579614252,1,0
1579616431,0,1
1579618339,1,0
1579622178,1,0
1579626309,1,0
1579628172,1,1
1579632017,0,1
1579633938,1,0
1579635858,0,1
1579639932,1,0
1579641856,1,1
1579643773,1,0
1579645694,0,1
1579649776,0,1
1579651694,0,1
1579653620,0,1
1579655539,1,0
1579657456,0,1
1579659377,1,0
1579663231,0,1
1579667084,1,0
1579668992,1,0
1579670894,2,0
1579673786,1,0
1579675699,0,1
1579677630,1,0
1579679532,1,0
1579683385,2,0
1579685296,2,0
1579687396,2,1
1579691568,1,0
1579697315,3,0
1579699225,0,2
1579701149,1,1
1579709106,0,1
1579711237,1,0
1579713148,0,1
1579715094,0,1
1579719145,1,0
1579721060,0,1
1579722994,1,0
1579727157,0,1
1579728979,0,1
1579730927,0,1
1579732832,2,0
1579740517,1,0
1579742448,2,1
1579744359,0,1
1579752246,2,0
1579754174,2,2
1579756132,0,1
1579758045,1,3
1579759973,1,1
1579763780,0,1
1579765694,1,1
1579767639,1,0
1579769559,1,2
1579771481,1,2
1579773375,0,2
1579775296,1,0
1579777552,1,1
1579781572,3,0
1579783458,3,3
1579787339,2,1
1579789223,2,0
1579791216,1,0
1579793062,2,0
1579795002,1,0
1579796901,2,0
1579799120,2,1
1579800980,2,0
1579802897,1,0
1579804819,0,1
1579808898,2,0
1579810815,0,1
1579812744,2,0
1579814661,4,0
1579816596,2,0
1579818495,2,1
1579820727,0,1
1579826414,1,1
1579828340,2,1
1579830251,2,1
1579832195,2,0
1579839892,0,3
1579841801,0,1
1579843719,1,1
1579845892,0,1
1579851622,2,0
1579853542,1,2
1579857411,0,2
1579861215,0,1
1579863138,0,1
1579866975,1,1
1579868893,0,4
1579871108,0,1
1579873077,2,2
1579874934,0,1
1579876831,1,2
1579878761,0,2
1579880796,0,1
1579882830,0,2
1579884735,0,2
1579886655,0,1
1579888595,0,2
1579892625,1,0
1579894825,0,2
