DateTime,AddedIPs,RemovedIPs
1578567981,0,2
1578571581,4,2
1578575179,2,2
1578578779,1,1
1578585980,1,1
1578589580,2,2
1578593187,4,0
1578596785,2,1
1578600385,1,4
1578603978,1,2
1578607577,5,3
1578611174,0,5
1578614772,1,1
1578618376,4,1
1578621977,2,0
1578625578,4,2
1578629183,4,1
1578632783,1,1
1578636379,1,2
1578639981,5,2
1578647183,1,0
1578650783,2,1
1578654385,2,1
1578657974,3,23
1578661579,3,1
1578668779,2,2
1578672385,4,0
1578679583,0,2
1578683182,2,1
1578686790,2,0
1578690389,1,1
1578693986,3,1
1578697588,2,0
1578701189,1,1
1578704786,1,3
1578708389,2,0
1578711990,2,0
1578715596,8,1
1578719194,4,2
1578722796,2,0
1578729999,2,0
1578733598,1,1
1578737198,1,1
1578740798,1,1
1578748008,26,0
1578755208,1,3
1578758810,4,1
1578762411,1,1
1578766009,3,2
1578769611,3,1
1578776809,0,1
1578780411,3,2
1578784009,3,2
1578787611,1,3
1578791211,1,0
1578794813,1,0
1578798413,1,0
1578802014,1,0
1578805618,4,0
1578809225,6,0
1578812827,2,1
1578816430,1,0
1578820028,1,2
1578823626,0,2
1578827223,0,2
1578830822,0,1
1578834426,1,0
1578841624,2,3
1578845226,2,0
1578848827,1,1
1578852426,1,1
1578856026,1,0
1578859625,0,1
1578863221,0,4
1578866816,0,3
1578870421,1,1
1578874017,3,1
1578888420,1,0
1578895616,0,3
1578899214,1,1
1578902812,0,2
1578906414,1,2
1578910009,1,3
1578913604,0,5
1578917181,0,31
1578920764,1,11
1578927965,2,1
1578931563,0,2
1578938763,0,1
1578942364,0,1
1578945962,0,5
1578949562,2,1
1578953163,1,0
1578956763,2,2
1578960364,3,1
1578963963,2,2
1578967562,0,1
1578971161,2,1
1578974766,4,0
1578978365,1,0
1578981963,0,2
1578985561,0,2
1578989162,1,2
1578992764,3,1
1578996364,2,3
1578999965,3,1
1579003565,1,1
1579007167,4,0
1579014368,3,1
1579017967,2,2
1579021569,2,0
1579025168,0,3
1579028764,0,2
1579032363,1,2
1579035961,1,1
1579043157,1,3
1579046758,2,1
1579050360,0,1
