DateTime,AddedIPs,RemovedIPs
1577995382,1,2
1577998983,1,2
1578006183,1,1
1578009782,1,1
1578013382,5,1
1578020583,2,0
1578024182,2,1
1578027783,2,6
1578031382,0,2
1578034984,3,3
1578038585,7,0
1578042184,3,4
1578049383,0,1
1578052982,1,0
1578056583,1,1
1578063783,2,8
1578067383,0,6
1578070983,1,1
1578074583,5,0
1578085324,1,2
1578088923,0,1
1578092584,1,0
1578096183,1,3
1578098823,2,2
1578103383,1,1
1578106984,0,2
1578114184,1,2
1578117784,8,0
1578121386,2,1
1578124984,1,2
1578128584,1,7
1578132185,0,1
1578135786,1,2
1578139385,0,3
1578142984,2,0
1578153784,2,4
1578157384,0,1
1578164585,2,1
1578168185,0,1
1578175386,0,2
1578178985,0,4
1578182586,3,0
1578186185,0,2
1578189784,0,1
1578193385,0,5
1578196985,2,1
1578200585,2,3
1578204186,1,1
1578207785,2,2
1578211385,0,3
1578214985,2,3
1578218525,2,1
1578222185,1,0
1578225785,0,3
1578229385,1,0
1578236585,0,1
1578240185,1,1
1578243785,2,1
1578247385,1,0
1578254585,2,1
1578258186,0,1
1578265386,3,3
1578268926,1,1
1578283386,4,2
1578286986,1,1
1578290526,2,0
1578294186,1,1
1578297786,2,2
1578301326,1,1
1578304986,1,0
1578308586,3,1
1578322987,0,1
1578326587,1,1
1578333787,3,3
1578334599,128,0
1578337387,84,0
1578340987,36,2
1578344587,1,0
1578348187,3,0
1578351787,2,6
1578355387,1,2
1578358987,3,2
1578362587,0,1
1578366187,0,2
1578373387,2,7
1578376987,1,5
1578384188,1,19
1578387787,3,4
1578391327,1,0
1578394987,2,1
1578402187,0,3
1578405787,0,2
1578412928,1,3
1578420188,0,150
1578423788,0,33
1578430928,1,0
1578438128,1,0
1578441788,1,3
1578445388,0,1
1578448988,2,0
1578452588,1,0
1578456188,2,1
1578459788,1,2
1578463388,1,0
1578466988,1,1
1578470588,2,2
1578477789,1,1
1578481089,1,0
1578492130,2,1
1578495790,1,1
1578499389,1,0
1578502990,0,1
1578506590,1,1
1578510189,8,2
1578520929,1,0
1578528189,1,1
1578535389,4,1
1578542590,0,4
1578546131,2,3
1578549790,0,1
1578553389,0,1
1578556929,0,1
1578560590,0,1
1578564191,1,0
1578567730,2,1
1578571330,1,0
1578574931,1,2
1578578591,2,1
1578582190,2,0
1578585790,0,2
1578589390,1,2
1578596591,2,0
1578600191,5,2
1578610991,1,0
1578614592,1,1
1578625391,1,2
1578628991,0,1
1578632593,2,2
1578636191,1,1
1578643331,0,2
1578650592,0,2
1578661392,1,1
1578664931,2,0
1578668591,0,3
1578672191,2,1
1578675851,1,0
1578679331,2,1
1578683364,6,0
1578686544,1,1
