DateTime,AddedIPs,RemovedIPs
1578977795,0,2
1578979697,2,1
1578988572,0,1
1578990511,3,0
1578992508,0,3
1578994359,1,1
1578996272,2,2
1578998172,0,1
1579000120,0,1
1579002012,0,1
1579003962,1,1
1579008035,0,2
1579011875,1,2
1579015957,3,0
1579018840,3,0
1579020737,1,0
1579022659,3,0
1579024593,0,1
1579026501,1,0
1579028470,0,2
1579030357,0,1
1579034174,0,1
1579036128,0,1
1579038021,0,1
1579039988,1,0
1579043785,0,1
1579045718,1,0
1579047630,0,1
1579049533,3,0
1579053685,3,1
1579057736,3,1
1579059641,0,2
1579061545,2,1
1579065391,1,1
1579067296,0,1
1579071129,1,0
1579073075,1,0
1579077140,1,3
1579079303,0,1
1579081232,1,1
1579083385,0,1
1579085564,1,1
1579087490,1,0
1579089385,0,1
1579095389,0,1
1579099241,1,1
1579101396,0,2
1579103313,1,3
1579107135,2,1
1579109055,0,2
1579112910,1,1
1579114918,1,0
1579116753,2,0
1579120596,1,0
1579124651,1,0
1579127218,0,1
1579130437,1,0
1579132330,0,1
1579134260,0,1
1579136188,0,3
1579138089,1,0
1579140995,1,3
1579142933,1,3
1579148661,0,2
1579150593,0,1
1579158512,0,2
1579164518,1,1
1579166423,0,1
1579170270,1,0
1579172173,0,1
1579174101,1,2
1579180820,1,0
1579184685,1,1
1579188527,0,1
1579190451,1,0
1579194533,0,2
1579198337,1,1
1579200275,1,0
1579202177,1,2
1579204092,1,1
1579206014,1,0
1579207938,0,1
1579209875,0,1
1579213952,1,0
1579215896,0,1
1579219708,1,0
1579225458,0,2
1579227420,2,0
1579229308,0,1
1579233131,1,0
1579247051,1,0
1579250932,0,1
1579254732,1,0
1579256680,2,1
1579260763,1,1
1579263848,2,0
1579265766,0,1
1579267719,1,0
1579271536,1,1
1579274414,1,0
1579276334,0,1
1579280175,1,0
1579282125,2,0
1579284998,1,1
1579287147,1,1
1579289072,0,1
1579290992,3,1
1579292890,1,1
1579298926,1,0
1579300815,1,1
1579302766,2,0
1579304653,1,0
1579306577,0,1
1579310414,2,0
1579312333,0,1
1579314252,1,1
1579316179,2,0
1579320982,0,1
1579323137,1,0
1579328886,3,0
1579333714,0,1
1579335880,1,0
1579337786,1,0
1579339700,1,0
1579341729,0,2
1579343540,1,1
1579349302,0,1
1579351227,0,1
1579353132,1,1
1579355075,1,0
1579359137,0,1
1579361050,0,1
1579362993,2,0
1579364889,1,0
1579367784,1,3
1579369947,0,1
1579373791,2,1
1579375688,1,0
1579378838,0,4
1579380740,1,0
1579388465,0,2
1579390353,0,1
1579392301,2,1
1579394193,2,0
1579396104,0,2
1579399957,0,1
1579401850,2,0
1579407610,1,0
1579409532,2,1
1579413366,3,0
1579415289,0,2
1579422006,0,1
1579423926,0,1
1579425867,0,1
1579429696,0,1
1579432582,1,0
1579436412,1,0
1579438336,1,1
1579440273,1,2
1579444097,1,0
1579446081,2,1
1579447935,0,2
1579450105,1,1
1579452021,1,0
1579453965,1,1
1579455854,3,0
1579459700,1,2
1579463557,0,1
1579467413,2,2
1579473169,2,0
1579476976,1,1
1579479142,0,2
1579481056,0,1
1579488741,1,2
1579490683,1,0
1579494489,1,1
1579496452,1,2
1579498352,0,2
1579500519,1,1
1579502416,3,0
1579508412,1,0
1579510332,0,1
1579512301,1,0
1579516092,1,0
1579518040,1,0
1579519944,1,1
1579521889,1,1
1579523785,2,1
1579525713,2,0
1579529545,2,1
1579531455,1,0
1579533384,0,2
1579535301,1,1
